"Date","Team","Acquired","Relinquished","Notes","Player","Season"
2021-02-20,"Warriors","","• Stephen Curry","illness (DTD)","Stephen Curry","2020-21"
2021-02-23,"Warriors","• Stephen Curry","","returned to lineup","Stephen Curry","2020-21"
2021-03-19,"Warriors","","• Stephen Curry","bruised tailbone (DTD)","Stephen Curry","2020-21"
2021-03-23,"Warriors","","• Stephen Curry","placed on IL with bruised tailbone","Stephen Curry","2020-21"
2021-03-29,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2020-21"
2021-04-02,"Warriors","","• Stephen Curry","bruised tailbone (DTD)","Stephen Curry","2020-21"
2021-04-04,"Warriors","• Stephen Curry","","returned to lineup","Stephen Curry","2020-21"
2021-11-19,"Warriors","","• Stephen Curry","placed on IL with bruised left hip","Stephen Curry","2021-22"
2021-11-20,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2021-22"
2021-12-18,"Warriors","","• Stephen Curry","placed on IL","Stephen Curry","2021-22"
2021-12-20,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2021-22"
2022-01-06,"Warriors","","• Stephen Curry","placed on IL with bruised left quadricep","Stephen Curry","2021-22"
2022-01-08,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2021-22"
2022-01-15,"Warriors","","• Stephen Curry","placed on IL with right hand injury","Stephen Curry","2021-22"
2022-01-18,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2021-22"
2022-02-01,"Warriors","","• Stephen Curry","placed on IL with toe injury","Stephen Curry","2021-22"
2022-02-02,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2021-22"
2022-03-07,"Warriors","","• Stephen Curry","placed on IL with sore left hand","Stephen Curry","2021-22"
2022-03-08,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2021-22"
2022-03-17,"Warriors","","• Stephen Curry","placed on IL with sprained left foot","Stephen Curry","2021-22"
2022-04-16,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2021-22"
2022-11-21,"Warriors","","• Stephen Curry","placed on IL with sore right elbow","Stephen Curry","2022-23"
2022-11-23,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2022-23"
2022-12-07,"Warriors","","• Stephen Curry","placed on IL with sore left ankle","Stephen Curry","2022-23"
2022-12-10,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2022-23"
2022-12-15,"Warriors","","• Stephen Curry","placed on IL with left shoulder injury","Stephen Curry","2022-23"
2023-01-10,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2022-23"
2023-02-05,"Warriors","","• Stephen Curry","placed on IL with left leg injury","Stephen Curry","2022-23"
2023-03-05,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2022-23"
2015-01-25,"Thunder","","• Steven Adams","migraine headache (DTD)","Steven Adams","2014-15"
2015-01-26,"Thunder","• Steven Adams","","returned to lineup","Steven Adams","2014-15"
2015-02-09,"Thunder","","• Steven Adams","placed on IL with fractured right finger","Steven Adams","2014-15"
2015-02-09,"Thunder","","• Steven Adams","surgery on right finger to repair fracture (out indefinitely)","Steven Adams","2014-15"
2015-03-08,"Thunder","• Steven Adams","","activated from IL","Steven Adams","2014-15"
2016-01-22,"Thunder","","• Steven Adams","sprained right elbow (DTD)","Steven Adams","2015-16"
2016-01-26,"Thunder","• Steven Adams","","returned to lineup","Steven Adams","2015-16"
2017-01-16,"Thunder","","• Steven Adams","concussion (DTD)","Steven Adams","2016-17"
2017-01-23,"Thunder","• Steven Adams","","returned to lineup","Steven Adams","2016-17"
2017-11-10,"Thunder","","• Steven Adams","placed on IL with bruised right calf","Steven Adams","2017-18"
2017-11-17,"Thunder","• Steven Adams","","activated from IL","Steven Adams","2017-18"
2017-12-16,"Thunder","","• Steven Adams","placed on IL with concussion","Steven Adams","2017-18"
2017-12-20,"Thunder","• Steven Adams","","activated from IL","Steven Adams","2017-18"
2018-03-13,"Thunder","","• Steven Adams","placed on IL with bruised left hip","Steven Adams","2017-18"
2018-03-16,"Thunder","• Steven Adams","","activated from IL","Steven Adams","2017-18"
2018-10-28,"Thunder","","• Steven Adams","placed on IL with calf injury","Steven Adams","2018-19"
2018-10-30,"Thunder","• Steven Adams","","activated from IL","Steven Adams","2018-19"
2019-01-29,"Thunder","","• Steven Adams","sprained right ankle (DTD)","Steven Adams","2018-19"
2019-02-01,"Thunder","• Steven Adams","","returned to lineup","Steven Adams","2018-19"
2019-10-30,"Thunder","","• Steven Adams","placed on IL with bruised left knee","Steven Adams","2019-20"
2019-11-05,"Thunder","• Steven Adams","","activated from IL","Steven Adams","2019-20"
2019-11-10,"Thunder","","• Steven Adams","placed on IL with bruised left knee","Steven Adams","2019-20"
2019-11-12,"Thunder","• Steven Adams","","activated from IL","Steven Adams","2019-20"
2020-01-17,"Thunder","","• Steven Adams","placed on IL with bruised right knee","Steven Adams","2019-20"
2020-01-18,"Thunder","• Steven Adams","","activated from IL","Steven Adams","2019-20"
2020-01-22,"Thunder","","• Steven Adams","placed on IL with sprained left ankle","Steven Adams","2019-20"
2020-01-25,"Thunder","• Steven Adams","","activated from IL","Steven Adams","2019-20"
2021-02-01,"Pelicans","","• Steven Adams","placed on IL with left calf injury","Steven Adams","2020-21"
2021-02-03,"Pelicans","• Steven Adams","","activated from IL","Steven Adams","2020-21"
2021-02-19,"Pelicans","","• Steven Adams","right ankle injury (DTD)","Steven Adams","2020-21"
2021-02-24,"Pelicans","• Steven Adams","","returned to lineup","Steven Adams","2020-21"
2021-04-02,"Pelicans","","• Steven Adams","sore right ankle (DTD)","Steven Adams","2020-21"
2021-04-03,"Pelicans","• Steven Adams","","returned to lineup","Steven Adams","2020-21"
2021-04-26,"Pelicans","","• Steven Adams","placed on IL with toe injury","Steven Adams","2020-21"
2021-04-28,"Pelicans","• Steven Adams","","activated from IL","Steven Adams","2020-21"
2021-04-29,"Pelicans","","• Steven Adams","placed on IL with toe injury","Steven Adams","2020-21"
2022-01-07,"Grizzlies","","• Steven Adams","placed on IL with NBA health and safety protocols","Steven Adams","2021-22"
2022-01-14,"Grizzlies","• Steven Adams","","activated from IL","Steven Adams","2021-22"
2022-04-01,"Grizzlies","","• Steven Adams","placed on IL with left calf injury","Steven Adams","2021-22"
2022-04-04,"Grizzlies","• Steven Adams","","activated from IL","Steven Adams","2021-22"
2022-04-10,"Grizzlies","","• Steven Adams","placed on IL with sore left ankle","Steven Adams","2021-22"
2022-04-15,"Grizzlies","• Steven Adams","","activated from IL","Steven Adams","2021-22"
2022-04-28,"Grizzlies","","• Steven Adams","placed on IL with NBA health and safety protocols","Steven Adams","2021-22"
2020-02-03,"Pistons","","• Sviatoslav Mykhailiuk / Svi Mykhailiuk","strained right hip (DTD)","Svi Mykhailiuk","2019-20"
2020-02-12,"Pistons","• Sviatoslav Mykhailiuk / Svi Mykhailiuk","","returned to lineup","Svi Mykhailiuk","2019-20"
2017-01-16,"76ers","","• T.J. McConnell","sprained right wrist (DTD)","T.J. McConnell","2016-17"
2017-01-18,"76ers","• T.J. McConnell","","returned to lineup","T.J. McConnell","2016-17"
2016-11-18,"Suns","","• T.J. Warren","illness (DTD)","T.J. Warren","2016-17"
2016-11-19,"Suns","","• T.J. Warren","placed on IL with illness","T.J. Warren","2016-17"
2016-11-23,"Suns","","• T.J. Warren","head injury (DTD)","T.J. Warren","2016-17"
2016-12-17,"Suns","• T.J. Warren","","activated from IL","T.J. Warren","2016-17"
2017-03-23,"Suns","","• T.J. Warren","left foot injury (DTD)","T.J. Warren","2016-17"
2017-03-26,"Suns","• T.J. Warren","","returned to lineup","T.J. Warren","2016-17"
2017-04-02,"Suns","","• T.J. Warren","placed on IL with illness","T.J. Warren","2016-17"
2017-04-05,"Suns","• T.J. Warren","","activated from IL","T.J. Warren","2016-17"
2018-01-05,"Suns","","• T.J. Warren","placed on IL with illness","T.J. Warren","2017-18"
2018-01-07,"Suns","• T.J. Warren","","activated from IL","T.J. Warren","2017-18"
2018-01-14,"Suns","","• T.J. Warren","placed on IL with sore lower back","T.J. Warren","2017-18"
2018-01-19,"Suns","• T.J. Warren","","activated from IL","T.J. Warren","2017-18"
2018-02-28,"Suns","","• T.J. Warren","placed on IL with tailbone injury / concussion","T.J. Warren","2017-18"
2018-03-02,"Suns","• T.J. Warren","","activated from IL","T.J. Warren","2017-18"
2018-03-08,"Suns","","• T.J. Warren","placed on IL with back spasms","T.J. Warren","2017-18"
2018-03-13,"Suns","• T.J. Warren","","activated from IL","T.J. Warren","2017-18"
2018-03-20,"Suns","","• T.J. Warren","placed on IL with inflammation in left knee (out for season)","T.J. Warren","2017-18"
2018-11-04,"Suns","","• T.J. Warren","placed on IL with lower back spasms","T.J. Warren","2018-19"
2018-11-06,"Suns","• T.J. Warren","","activated from IL","T.J. Warren","2018-19"
2018-11-30,"Suns","","• T.J. Warren","placed on IL with sore right ankle","T.J. Warren","2018-19"
2018-12-10,"Suns","• T.J. Warren","","activated from IL","T.J. Warren","2018-19"
2019-01-23,"Suns","","• T.J. Warren","placed on IL with sore right ankle (out for season)","T.J. Warren","2018-19"
2020-02-02,"Pacers","","• T.J. Warren","concussion (DTD)","T.J. Warren","2019-20"
2020-02-03,"Pacers","","• T.J. Warren","placed on IL with concussion","T.J. Warren","2019-20"
2020-02-08,"Pacers","• T.J. Warren","","activated from IL","T.J. Warren","2019-20"
2020-03-06,"Pacers","","• T.J. Warren","placed on IL with left leg injury","T.J. Warren","2019-20"
2020-03-08,"Pacers","• T.J. Warren","","activated from IL","T.J. Warren","2019-20"
2016-03-02,"Bulls","","• Taj Gibson","strained right hamstring (DTD)","Taj Gibson","2015-16"
2016-03-05,"Bulls","• Taj Gibson","","returned to lineup","Taj Gibson","2015-16"
2016-03-31,"Bulls","","• Taj Gibson","bruised (P Y) / fractured (CBC) ribs (out for season)","Taj Gibson","2015-16"
2017-01-17,"Bulls","","• Taj Gibson","placed on IL with sore left ankle","Taj Gibson","2016-17"
2017-01-20,"Bulls","• Taj Gibson","","activated from IL","Taj Gibson","2016-17"
2017-01-29,"Bulls","","• Taj Gibson","placed on IL with sore left ankle","Taj Gibson","2016-17"
2017-02-01,"Bulls","• Taj Gibson","","activated from IL","Taj Gibson","2016-17"
2017-03-31,"Thunder","","• Taj Gibson","placed on IL with illness","Taj Gibson","2016-17"
2017-04-02,"Thunder","• Taj Gibson","","activated from IL","Taj Gibson","2016-17"
2017-04-11,"Thunder","","• Taj Gibson","rest (DTD)","Taj Gibson","2016-17"
2018-12-14,"Timberwolves","","• Taj Gibson","personal reasons (DTD)","Taj Gibson","2018-19"
2018-12-15,"Timberwolves","","• Taj Gibson","placed on IL for personal reasons","Taj Gibson","2018-19"
2018-12-17,"Timberwolves","• Taj Gibson","","activated from IL","Taj Gibson","2018-19"
2019-03-21,"Timberwolves","","• Taj Gibson","strained left calf (DTD)","Taj Gibson","2018-19"
2019-04-03,"Timberwolves","","• Taj Gibson","placed on IL with strained left calf","Taj Gibson","2018-19"
2019-04-10,"Timberwolves","• Taj Gibson","","activated from IL","Taj Gibson","2018-19"
2019-04-10,"Timberwolves","","• Taj Gibson","strained left calf (out for season)","Taj Gibson","2018-19"
2017-01-01,"Hawks","","• Taurean Prince","placed on IL","Taurean Prince","2016-17"
2017-01-07,"Hawks","• Taurean Prince","","activated from IL","Taurean Prince","2016-17"
2018-11-06,"Hawks","","• Taurean Prince","placed on IL with sprained right ankle","Taurean Prince","2018-19"
2018-11-07,"Hawks","• Taurean Prince","","activated from IL","Taurean Prince","2018-19"
2018-11-15,"Hawks","","• Taurean Prince","right Achilles injury (DTD)","Taurean Prince","2018-19"
2018-11-17,"Hawks","","• Taurean Prince","placed on IL with right Achilles injury","Taurean Prince","2018-19"
2018-11-19,"Hawks","• Taurean Prince","","activated from IL","Taurean Prince","2018-19"
2018-12-04,"Hawks","","• Taurean Prince","left ankle injury (out indefinitely)","Taurean Prince","2018-19"
2018-12-05,"Hawks","","• Taurean Prince","placed on IL with left ankle injury","Taurean Prince","2018-19"
2019-01-13,"Hawks","• Taurean Prince","","activated from IL","Taurean Prince","2018-19"
2019-02-24,"Hawks","","• Taurean Prince","personal reasons (DTD)","Taurean Prince","2018-19"
2019-02-27,"Hawks","","• Taurean Prince","placed on IL for personal reasons","Taurean Prince","2018-19"
2019-02-27,"Hawks","• Taurean Prince","","activated from IL","Taurean Prince","2018-19"
2019-03-02,"Hawks","","• Taurean Prince","personal reasons (DTD)","Taurean Prince","2018-19"
2019-03-03,"Hawks","","• Taurean Prince","placed on IL for personal reasons","Taurean Prince","2018-19"
2019-03-06,"Hawks","• Taurean Prince","","returned to lineup","Taurean Prince","2018-19"
2019-03-29,"Hawks","","• Taurean Prince","placed on IL with foot injury","Taurean Prince","2018-19"
2019-04-03,"Hawks","• Taurean Prince","","activated from IL","Taurean Prince","2018-19"
2016-02-10,"Timberwolves","","• Tayshaun Prince","personal reasons (DTD)","Tayshaun Prince","2015-16"
2016-02-20,"Timberwolves","• Tayshaun Prince","","returned to lineup","Tayshaun Prince","2015-16"
2018-11-17,"Thunder","","• Terrance Ferguson","placed on IL for personal reasons","Terrance Ferguson","2018-19"
2018-11-21,"Thunder","• Terrance Ferguson","","activated from IL","Terrance Ferguson","2018-19"
2018-11-23,"Thunder","","• Terrance Ferguson","placed on IL with sprained left ankle","Terrance Ferguson","2018-19"
2018-12-03,"Thunder","• Terrance Ferguson","","activated from IL","Terrance Ferguson","2018-19"
2018-12-30,"Thunder","","• Terrance Ferguson","illness (DTD)","Terrance Ferguson","2018-19"
2018-12-31,"Thunder","• Terrance Ferguson","","returned to lineup","Terrance Ferguson","2018-19"
2019-01-29,"Thunder","","• Terrance Ferguson","placed on IL with back spasms","Terrance Ferguson","2018-19"
2019-02-01,"Thunder","• Terrance Ferguson","","activated from IL","Terrance Ferguson","2018-19"
2019-11-12,"Thunder","","• Terrance Ferguson","placed on IL for personal reasons","Terrance Ferguson","2019-20"
2019-11-14,"Thunder","• Terrance Ferguson","","activated from IL","Terrance Ferguson","2019-20"
2019-12-05,"Thunder","","• Terrance Ferguson","right hip injury (DTD)","Terrance Ferguson","2019-20"
2019-12-06,"Thunder","","• Terrance Ferguson","placed on IL with right hip injury","Terrance Ferguson","2019-20"
2019-12-16,"Thunder","• Terrance Ferguson","","activated from IL","Terrance Ferguson","2019-20"
2020-01-18,"Thunder","","• Terrance Ferguson","placed on IL with illness","Terrance Ferguson","2019-20"
2020-01-20,"Thunder","","• Terrance Ferguson","personal reasons (DTD)","Terrance Ferguson","2019-20"
2020-02-05,"Thunder","• Terrance Ferguson","","activated from IL","Terrance Ferguson","2019-20"
2020-02-05,"Thunder","• Terrance Ferguson","","activated from IL","Terrance Ferguson","2019-20"
2013-10-30,"Rockets","","• Terrence Jones","strained right shoulder (DNP)","Terrence Jones","2013-14"
2014-01-20,"Rockets","","• Terrence Jones","bruised left thigh (DNP)","Terrence Jones","2013-14"
2014-01-22,"Rockets","","• Terrence Jones","bruised left thigh (DNP)","Terrence Jones","2013-14"
2014-04-01,"Rockets","","• Terrence Jones","flu (DNP)","Terrence Jones","2013-14"
2015-11-01,"Rockets","","• Terrence Jones","placed on IL with facial (eyelid) injury","Terrence Jones","2015-16"
2015-11-11,"Rockets","• Terrence Jones","","activated from IL","Terrence Jones","2015-16"
2015-12-29,"Rockets","","• Terrence Jones","illness (DTD)","Terrence Jones","2015-16"
2015-12-31,"Rockets","• Terrence Jones","","returned to lineup","Terrence Jones","2015-16"
2016-02-04,"Rockets","","• Terrence Jones","placed on IL with injuries suffered in car accident (P) / concussion (CBC Y)","Terrence Jones","2015-16"
2016-02-23,"Rockets","• Terrence Jones","","activated from IL","Terrence Jones","2015-16"
2016-03-05,"Rockets","","• Terrence Jones","placed on IL with illness","Terrence Jones","2015-16"
